komentar,clean,sentimen
Mantab slur ceritanya,mantab slur ceritanya,1
Ah bikin bosen,ah bikin bosen,0
Btw yang buka peti kok ngak modart,btw buka peti ntidakk modart,1
Terima kasih.. done subscribe dari Malaysia,terima kasih done subscribe malaysia,1
Bagus banget pembawaanya dan details sekali penceritaannya.,bagus banget pembawaanya details penceritaannya,2
Gw kesini abis liat chanel meme film,gw kesini abis liat chanel meme film,1
"sumpah ini film kalo ditonton langsung di bioskop serem banget, sejauh ini, exhuma paling bikin gw takut dari ribuan film. horor yg gw tonton",sumpah film kalo ditonton langsung bioskop serem banget exhuma bikin gw takut ribuan film horor yg gw tonton,1
Kes saka la ni kan....,kes saka la ni,1
"Film bangsat,bangke2",film bangsatbangke,1
Serem bngt filmnya😬😬😬,serem bngt filmnya,1
"Iya emang @nj1ng Jepang itu, bi@dab",iya emang njng jepang bidab,1
Kejadian yg hampir sama terjadi jga di indonesia..https://youtu.be/IX7AIOkLy6E?si=hSfEfgRTJ3-XSuNl,kejadian yg jtidak indonesia,1
dimna? indonesia emang bukan satu ras 😂😂. didalam sejarah aja kerajaanya beda beda,dimna indonesia emang bukan ras didalam sejarah aja kerajaanya beda beda,1
Indonesia mistisnya melebihi jepang 😅,indonesia mistisnya melebihi jepang,1
"indonesia pernah dijajah jepang,bisa jadi mereka pasang pasak juga disini😢",indonesia dijajah jepangbisa pasang pasak jutidak,1
"​ @NadineCarissa017 konon jepun memasangnya d kalimantan utk memecahkan suku melayu (indonesia,malaysia,thailand selatan)",nadinecarissakonon jepun memasangnya d kalimantan utk memecahkan suku melayu indonesiamalaysiathailand selatan,1
Biksu dri jepang,biksu dri jepang,1
"Ini horor sadis karena banyak nya darah darah gituuu mana ada adegan lempar kepala manusia lahhh ituuu ,ngeri ngeri sedapp film ini",horor sadis nya darah darah gituuu adetidakn lempar kepala manusia lahhh ituuu ngeri ngeri sedapp film,1
dimana ya cari full movienya semua udah diedit adà ada yg tau dimana full movienya,dimana ya cari full movienya udah diedit ad yg tau dimana full movienya,1
Seru filmnya,seru filmnya,1
Gambay terlalu gelap,tidakmbay gelap,1
Kirain Indonesia doang yang punya begitu ternyata di luar juga😂,kirain indonesia doang jutidak,1
Ahli fengshui tu bener.  Jgn bongkar,ahli fengshui tu bener jgn bongkar,1
Kok patah2 ya,patah ya,1
Lebih seru klo roh nenek penjaga tarung sama jendralnya,seru klo roh nenek penjatidak tarung jendralnya,1
kok gelap yaa..tak bikin terang kok g bisa. 😢😢,gelap yaatak bikin terang g,1
Sangduk kyak don carlo 😌😌😌,sangduk kyak don carlo,1
Terbaik ni seru flim nyaa,terbaik ni seru flim nyaa,1
Nonton n y adanya di id drakor gk ada,nonton n y id drakor gk,1
Gw pikir the medium udah paling epic ternyata exhuma lebih epic,gw pikir the medium udah epic exhuma epic,2
Katanya ini film seru jadi gw nonton alur ny aja lah ga paham bakor wkwkwk😂,film seru gw nonton alur ny aja tidak paham bakor wkwkwk,1
Ini plg lengkap dan jelas rivew nya persis kyak di film nya.. Makasi bnyak bang,plg lengkap rivew nya persis kyak film nya makasi bnyak bang,1
Maaaf tapi kok gue mlh bnyk ngakak😂,maaaf gue mlh bnyk ntidakkak,1
Ayam dan beras ketan hmmmm,ayam beras ketan hmmmm,1
"Jepang laknatullah, gak salah Korea dan China dendam sama Jepang, cuman Indonesia yg sering lupa sejarah dan melupakan kejahatan jepang dan Belanda.",jepang laknatullah tidakk salah korea china dendam jepang cuman indonesia yg lupa sejarah melupakan kejahatan jepang belanda,1
"semua gegara penjaga kamar mayat 🗿coba ga dibuka paksa, pasti selamat. lagian udah dikasih duit, msh serakah",getidakra penjatidak kamar mayat coba tidak dibuka paksa selamat udah dikasih duit msh serakah,1
uwaw,uwaw,1
Jauh beda sama Belanda masih berakhlak Jepang gak sama sekali😂😂😂😂😂😂😂,beda belanda berakhlak jepang tidakk,1
Namanya juga manusia korup gk mikirin negatifnya,namanya jutidak manusia korup gk mikirin netidaktifnya,1
Tpi yg dibuka kan peti kakek nya kok jdi jahat ya nge bun2 keturunan nya,tpi yg dibuka peti kakek nya jdi jahat ya nge bun keturunan nya,1
" @Vellycialova  Dukun hwa rim pernah bilang kalau selama dikubur, kakek buyut Park minta tolong dari dalam peti mati suaya diselamatkan karena jasadnya ada di pemakaman yang sama dengan siluman jenderal Jepang. Nah karena ga ada keturunan yang dengar minta tolongnya jadi marah dan tumbuh menjadi dendam. Inilah alasannya jadi ngincar nyawa keturunannya.",vellycialova dukun hwa rim bilang dikubur kakek buyut park tolong peti mati suaya diselamatkan jasadnya pemakaman dentidakn siluman jenderal jepang tidak keturunan dentidakr tolongnya marah tumbuh dendam alasannya ngincar nyawa keturunannya,1
Judul nya apa sih,judul nya sih,1
Thanks dari Malaysia. Jelas bang. Baru faham😊,thanks malaysia bang faham,1
Nggak seserem pocong sama kunti menurut ku😅,ngtidakk seserem pocong kunti ku,1
siapa yang lihat ini karna konten kembara sunyi???....,lihat karna konten kembara sunyi,1
"Oma ikut nyimak. ya
Terima kasih sdh
menghibur...😊😊😊
Succes sllu..BS  
Aamiin  ya Rabb..",oma nyimak yaterima kasih sdhmenghibursucces sllubs aamiin ya rabb,1
"Gara"" Bang hiro ini langsung mampir...",tidakra bang hiro langsung mampir,1
Jepang kan pernah menjajah Indonesia. Tapi kenapa ya sampe sekarang produk-produk jepang bisa ada di Indonesia. 🤔,jepang menjajah indonesia ya sampe produkproduk jepang indonesia,1
"Di bioskop masih ada ngga ya filmya? atau bisa nonton dimana selain bioskop🥺 please yg ngerti tlong kasi tauu, baru ngenalin film ini soalnya, itu pun dari bg hiro",bioskop ngtidak ya filmya nonton dimana bioskop please yg ngerti tlong kasi tauu ngenalin film bg hiro,1
karena hirotada,hirotada,1
"Sebelum iblisnya jd baraspati, mereka berempat dikasih penglihatan masa lalu. Huwarin itu reinkarnasi gadis baju putih yg sdg ritual di pohon keramat kah/ se geng ma biksu jepang ?",iblisnya jd baraspati berempat dikasih penglihatan huwarin reinkarnasi tidakdis baju putih yg sdg ritual pohon keramat kah geng ma biksu jepang,1
Kesini karna cerita bang hirotada radifan😂,kesini karna cerita bang hirotada radifan,1
Saya kesini krn channel om hao family,kesini krn channel om hao family,1
berarti gara gara si penjaga peti yang goblok,tidakra tidakra si penjatidak peti goblok,1
Pusing ane sama alur ceritanya. Apalagi klo nonton langsung yakin banget ga bakal paham,pusing ane alur ceritanya klo nonton langsung banget tidak paham,1
gegara tiktok jadi nyasar ke sini😊,getidakra tiktok nyasar,1
PELAN BGT SUARA NYA WOY,pelan bgt suara nya woy,1
Kesini gara2 tc bang hiro,kesini tidakra tc bang hiro,1
Beh...jahat bener jepang jajahnya...pake pasak manusia ditempat2 yg akan mereka jajah,behjahat bener jepang jajahnyapake pasak manusia ditempat yg jajah,1
"Di kalimantan juga ada pohon ulin yg ditebang gk bs2 karena ada kutukan dari orang jepang,jd film ini sama yg dicritakan sama Hirotada..jepang hampir diseluruh negara yg dijajah naro nanam kutukan ceunah",kalimantan jutidak pohon ulin yg ditebang gk bs kutukan orang jepangjd film yg dicritakan hirotadajepang diseluruh netidakra yg dijajah naro nanam kutukan ceunah,1
☝️,,1
Sama 😂,,1
udah nonton full movie nya di internet itupun agk tersendat.di netflix lum ada.,udah nonton full movie nya internet itupun agk tersendatdi netflix lum,1
Betul aa ini LG nonton td d Trans7 jg GK paham ap LG smbil bikin kue pesanan jd g fokus nonton mlh bingung GK paham 😊😮,aa lg nonton td d trans jg gk paham ap lg smbil bikin kue pesanan jd g fokus nonton mlh bingung gk paham,1
Betul skli kak... Di setiap jajahan Jepang selalu di tanam pasak yg seperti di film itu contohnya di kalimantan ada cerita itu juga,skli kak jajahan jepang tanam pasak yg film contohnya kalimantan cerita jutidak,1
 @agungwicaks_2254  ia jepang ternyata dukunya kuat jg ya😄,agungwicaks jepang dukunya kuat jg ya,1
kembara sunyi,kembara sunyi,1
"Ishh bener² jahat banget sih orang Jepang dulu udah ngejajah, pas pergi pun sempet² nya naro kutukan bener² ga pengen negara yang dijajah nya hidup damai bahagia",ishh bener jahat banget sih orang jepang udah ngejajah pas pergi sempet nya naro kutukan bener tidak pengen netidakra dijajah nya hidup damai bahagia,1
Pasti bohong,bohong,1
 @GilaaqGaluuq  coba nonton hiro tada radifan,gilaaqtidakluuq coba nonton hiro tada radifan,1
Kesini gara gara hirotada radifan,kesini tidakra tidakra hirotada radifan,1
Kesini setelah dengar cerita di hirotda,kesini dentidakr cerita hirotda,1
"Seru ternyta filmya,apakah akan ada season 2 nya di buat???😮",seru ternyta filmyaapakah season nya,1
Kesini karena hirotada,kesini hirotada,1
kesini berkat teman cerita bang hiro,kesini berkat teman cerita bang hiro,1
Siapa yang datang ke sini karena chanel hirotada...,chanel hirotada,1
Nice Bang !,nice bang,1
"Uda nonton kmrn, dan ternyata gak seserem dan semenegangkan seperti apa yg dibicarakan org2..😅",uda nonton kmrn tidakk seserem semenetidakngkan yg dibicarakan org,1
Akhirnya ada juga yg upload ni film,jutidak yg upload ni film,1
👍👍👍,,1
"Pertanyaan ku sampek saat ini si ular itu apa? Dan hubungannya sama kedua iblis tadi apa?
Sampek sekarang masih penasaran 🥲",ku sampek si ular hubuntidaknnya iblis apasampek penasaran,1
Aku nonton ringkasan film disini karena takut nonton filmnya langsung,nonton ringkasan film takut nonton filmnya langsung,1
Maaciw bang nnton sendiri filmnya gak ngerti2😢,maaciw bang nnton filmnya tidakk ngerti,1
Terlepas dari ini cuman film. Adegan mereka saat di kuburan itu ditemani sama dukun asli. Dikarenakan mantra yg dibacakan memang mantra asli dan aktris nya tersebut yg sempat jatuh sakit 😮,terlepas cuman film adetidakn kuburan ditemani dukun asli mantra yg dibacakan mantra asli aktris nya yg jatuh sakit,1
Akhirnya paham.. nnton sendiri di l*kl*k translatenya otomatis malah mbingungi,paham nnton lklk translatenya otomatis mbingungi,1
Mantap... ❤❤,mantap,2
"Kisah nyata ni min,soalnya di indonesia jepang jg menancapkan pasak besinya jg,tu sebagai kutukan negara yg dijajahnya,jepang tidak rela negara yg dijajahnya merdeka begitu saja.",kisah nyata ni minsoalnya indonesia jepang jg menancapkan pasak besinya jgtu sebatidaki kutukan netidakra yg dijajahnyajepang tidak rela netidakra yg dijajahnya merdeka,1
Detil,detil,1
Gara² maling,tidakra maling,1
"Pembahasan terkait elemen nya keren, apalagi yg di bagian air mengalahkan api dan kayu basah lebih keras dri pada besi🔥🔥",pembahasan terkait elemen nya keren yg air mentidaklahkan api kayu basah keras dri besi,2
Sama 😂,,1
Sama,,1
akuu 😂😂,akuu,1
Samaa wkwkw. Aku udah nonton exuma tapi jadi pengen ntn lagi makanya cari sampe kesini wkwk,samaa wkwkw udah nonton exuma pengen ntn cari sampe kesini wkwk,1
Kok ya sama ya cerita nya dgn yg di ceritain hirotada,ya ya cerita nya dgn yg ceritain hirotada,1
" @asriadjie1594  Hampir 98% cerita hirotada dari film, yg diklaim sama dia bagaikan kisah nyata.. aslinya dia pembohong sejati",asriadjie cerita hirotada film yg diklaim batidakikan kisah nyata aslinya pembohong sejati,1
Eh majikan kok kesini😂,eh majikan kesini,1
aku,,1
Aku langsung kesini😂 habis itu ke om hao 😅,langsung kesini habis om hao,1
"Aku nonton exhuma, ga ngerti, jadi ga di lanjut, pas nonton chanel hirotada, jadi penasaran tapi mager nonton lagi, jadi mampir deh",nonton exhuma tidak ngerti tidak pas nonton chanel hirotada penasaran mager nonton mampir deh,1
Aku juga.,jutidak,1
Aku,,1
Akuuuu🤣🤣,akuuuu,1
Aku😂😂😂,,1
Aku 😂,,1
Akuuu,akuuu,1
Lah sama wkwkwk,wkwkwk,1
Akuu,akuu,1
Saya,,1
Aqu 😂,aqu,1
Akuu,akuu,1
Cung...,cung,1
Sayaa!!!!!,sayaa,1
☝️ jd merinding lihatnya,jd merinding lihatnya,1
Aku,,1
Sama,,1
Hahah sama,hahah,1
mee,mee,1
Aku,,1
Akkuuuu 😂😂,akkuuuu,1
Hadirrrrrr 😅,hadirrrrrr,1
Saya 😂,,1
Akuuu,akuuu,1
Q,q,1
😂😂,,1
ALAY CAPER NGNTOTT,alay caper ngntott,1
akuuu,akuuu,1
Aku,,1
Saya,,1
Aku,,1
Aku 😅,,1
Gueee😅,gueee,1
Kamuuuuuuu...,kamuuuuuuu,1
cung,cung,1
saya karena nonton kembara sunyi,nonton kembara sunyi,1
"Aing, baru selesai liat cerita Hiro dari om hao",aing selesai liat cerita hiro om hao,1
Akuuu😂😂,akuuu,1
Akuuu... Ternyata mirip dg ceritanya,akuuu dg ceritanya,1
Akuuuu,akuuuu,1
Si tukang bacod ngaku nyata pdahl dr film kah?? 😂😂😂 dialah hirotada .....,si tukang bacod ntidakku nyata pdahl dr film kah hirotada,1
Hirodata siapa?,hirodata,1
Sama,,1
Cerita nya mirip sama yg di ceritain hirotada,cerita nya yg ceritain hirotada,1
Saya malah nonton filmnya langsung,nonton filmnya langsung,1
"Hbs nonton channel hirotada, lalu ke sini. Kok aku jd pny kesimpulan ya: org je**ng jahat licik. Sdh menjajah, kalah.. mrk gak mau rakyat didaerah jajahannya hidup tenang damai. Tanah bekas jajahannya di kutuk",hbs nonton channel hirotada jd pny kesimpulan ya org jeng jahat licik sdh menjajah kalah mrk tidakk rakyat didaerah jajahannya hidup tenang damai tanah bekas jajahannya kutuk,1
Hadir 😊😊😊 emang ka Hiro tuh the best yah,hadir emang ka hiro tuh the best yah,1
Akuuuuy,akuuuuy,1
Akuuu 😂,akuuu,1
gua,gua,1
Hadirr❤😂,hadirr,1
Haahahahah😂😂😂😂😂,haahahahah,1
"Salah si cwe nih ngeyel mau bongkar kubura, emang sumber masalah  woman",salah si cwe nih ngeyel bongkar kubura emang sumber woman,1
Akuuu,akuuu,1
Aku😂,,1
Sama 😀,,1
Hadir,hadir,1
Dan ternyata di Kalimantan ada juga pasak tumbalnya dari Jepang setelah nonton video nya hirotada radifan,kalimantan jutidak pasak tumbalnya jepang nonton video nya hirotada radifan,1
mitologi jepang ka,mitologi jepang ka,1
Sok tau,sok tau,1
Kenapa jepang ga ngutuk mamarika yg ngebom mereka😮😂,jepang tidak ngutuk mamarika yg ngebom,1
Pasak besi yg dimaksud ya ternyata si jenderal samurai raksasa itu,pasak besi yg ya si jenderal samurai raksasa,1
Fengsui itu budaya 🇨🇳 atau 🇰🇷😝😝😝😭😭😭 aku tau Kim Jong UN 😝😝😝😅😅😅😅 keren mungkin setan di nuklir 😂😂😂,fengsui budaya tau kim jong un keren setan nuklir,2
Nonton dimana,nonton dimana,1
Banzaaaiii,banzaaaiii,1
Yang kesini gara2 di tik tok,kesini tidakra tik tok,1
Penjelasan yg rapi dan di mengerti. Mantaaap👍👍👍👍👍👍👍👍👍,penjelasan yg rapi mengerti mantaaap,1
Mantap,mantap,2
Gw penasaran sama neneknya hwanri,gw penasaran neneknya hwanri,1
komemtar 169,komemtar,1
keren bang dikasih rangkuman penjelasan di akhir video jadi lebih faham lagi,keren bang dikasih rangkuman penjelasan video faham,2
Gw nonton film 3x di bioskop seru abisss,gw nonton film x bioskop seru abisss,1
Film nya seru cuma yg nyeritain bikin ngantuk ..beda kyak saqahayang,film nya seru yg nyeritain bikin ntidakntuk beda kyak saqahayang,1
Jadii makiin penasaran sama film nyaa tpii belum sempet n0nt0n begiiniilah nasiib pejuang kuota mah😢,jadii makiin penasaran film nyaa tpii sempet nntn begiiniilah nasiib pejuang kuota mah,1
Bagian terseram keteka si iblis menerkam dan mau mengambil jantung pak tua di dalam lubang kuburan huh ku kira pak tua akan mati waktu itu ternyata selamat,terseram keteka si iblis menerkam mentidakmbil jantung tua lubang kuburan huh ku tua mati selamat,2
Mbah dok,mbah dok,1
"Gak heran banyak dpt Baeksang Award, part paling merinding pas mereka melihat makam yg hanya sendiri diatas gunung, sederhana namun nuansa horor bercampur keren, langsung merindinf.. epic sih sinematografix.. keren 💀",tidakk heran dpt baeksang award part merinding pas makam yg diatas gunung sederhana nuansa horor bercampur keren langsung merindinf epic sih sinematografix keren,2
Bagian terseram NY ya iblis jepang samurai NY itu dia bentuk bola api melayang2 diudara trs berubah wujud ke iblis samurai jepang...bgs bgt ini film..tegang,terseram ny ya iblis jepang samurai ny bentuk bola api melayang diudara trs berubah wujud iblis samurai jepangbgs bgt filmtetidakng,2
"Film ini konsep antagonisnya mirip The Conjuring 2. Ada antagonis sekunder dan antagonis primer. Di Conjuring 2 antagonis sekundernya si hantu kakek (lupa namanya) dan antagonis primernya justru si Valak. Di Exhuma pun sama. Peti mati pertama yang di ekshumasi milik leluhur keluarga Park itu bukan musuh terberat para protagonisnya. Justru peti yang dikubur dibawahnya lagi yang posisinya aneh (vertikal) berisi jasad iblis samurai raksasa yang jadi antagonis utamanya.

Asli ini film seram bagi saya padahal saya hobi nonton film horror setiap hari sepulang kerja. Rating 8/10 lah.",film konsep antagonisnya the conjuring antagonis sekunder antagonis primer conjuring antagonis sekundernya si hantu kakek lupa namanya antagonis primernya si valak exhuma peti mati ekshumasi milik leluhur keluartidak park bukan musuh terberat protagonisnya peti dikubur dibawahnya posisinya aneh vertikal berisi jasad iblis samurai raksasa antagonis utamanyaasli film seram hobi nonton film horror sepulang kerja rating,1
Ada link film nya nggak sih,link film nya ngtidakk sih,1
Yg horor 2 gini yg kk suka .thank ya .klo ada lag kk pasti nonton okee,yg horor gini yg kk suka thank ya klo lag kk nonton okee,2
"Pas sosok siluman itu muncul depan dukun cewe itu paling epic si, horrornya dapet kagetnya dapet, GG bangett 😂",pas sosok siluman muncul dukun cewe epic si horrornya dapet kagetnya dapet gg bangett,2
"Betul bgt, baru kali ini nnton horor korea se ekstrem ini serius. Ampe 2x nonton tp tetep nagih dan bikin dag dig dug, ngga bs ketebak endingnya",bgt kali nnton horor korea ekstrem serius ampe x nonton tp tetep nagih bikin dag dig dug ngtidak bs ketebak endingnya,1
Bukan. Dia justru tumbal. Peran antagonis utama ya gisuni. Biksu yg nanem pasak besi di mayat jendral itu.,bukan tumbal peran antagonis utama ya gisuni biksu yg nanem pasak besi mayat jendral,1
​ @yuhuu4481 apa gisuni itu yg jdi ular keluar dari kubur itu,yuhuuapa gisuni yg jdi ular kubur,1
Di situs LK21 sudah ada sejak 2 mingguan lalu.,situs lk mingguan,1
​ @berliancahyadi279 full movie kah,berliancahyadifull movie kah,1
Haii bang Salam kenal ya .kk br dapat ini ga sengaja ..❤❤.,haii bang salam kenal ya kk br tidak sentidakja,1
"Mungkin krna nonton alurnya jd gak begtu seram,mungkin klo nonton filmnya bru terasa seramnya,yg bikin serem suara hantunya sm jumpscarenya bikin kaget n merinding",krna nonton alurnya jd tidakk begtu serammungkin klo nonton filmnya bru seramnyayg bikin serem suara hantunya sm jumpscarenya bikin kaget n merinding,2
Sanduk ggwp cuy,sanduk ggwp cuy,1
"Gegara nonton via streaming yang subtitlenya gak beres, jadi kudu nonton alur ceritanya via youtube biar paham. 😂",getidakra nonton via streaming subtitlenya tidakk beres kudu nonton alur ceritanya via youtube biar paham,1
Di netflix ada ngga,netflix ngtidak,1
Ternyata pasak bumi nya yg berhantu dan dikutuk untuk terus menjaga tempat itu. Karena di kira si pasak bumi itu .. Masih zaman perang.,pasak bumi nya yg berhantu dikutuk menjatidak si pasak bumi zaman perang,1
"Video perdana yg lewat dari channel ini....Auto subscribe lah...pemaparannya bagus, suara jelas.. top banget👍",video perdana yg channel iniauto subscribe lahpemaparannya bagus suara top banget,2
Judulnya apa min,judulnya min,1
Habis nonton sampe kebwa mimpi saking ngerinya.,habis nonton sampe kebwa mimpi saking ngerinya,1
Gambarnya gelap min,tidakmbarnya gelap min,1
"udah nonton di bioskop, bagusss bgt❤ dan pengen nonton lagi sekarang akhirnya nonton review nya aja 😂",udah nonton bioskop bagusss bgt pengen nonton nonton review nya aja,2
Aku sdh nonton kebetulan beli DVD kasetnya di toko online gak sempet nonton di bioskop..memang alur cerita nya sangat fresh dan unik.wajib nonton,sdh nonton beli dvd kasetnya toko online tidakk sempet nonton bioskopmemang alur cerita nya santidakt fresh unikwajib nonton,1
"hantu jepang, di tempat2 yg dijajah jepang ternyata sama2 punya kisah tentang hantu dr bangsa biadab itu.",hantu jepang yg dijajah jepang kisah hantu dr bangsa biadab,1
10:19 krispi sekali 💀,krispi,1
"Film yg pengen gw nonton di bioskop tp belom kesampaian juga sampe detik ini. Akhirnya dibahas juga. Selain suka sama kedua artis yg jadi dukun ini, gw juga suka scene yg mereka ritual trus dukun cewenya nari nari. Keren banget kim go eun",film yg pengen gw nonton bioskop tp belom jutidak sampe detik dibahas jutidak suka artis yg dukun gw jutidak suka scene yg ritual trus dukun cewenya nari nari keren banget kim go eun,0
"Bagus banget film nya, di kemas dengan sangat rapi❤",bagus banget film nya kemas dentidakn santidakt rapi,2
Gue kok ketawa ya. Apa krna gue ganteng?,gue ketawa ya krna gue tidaknteng,1
gw butuh Vidio aslinya😮,gw butuh vidio aslinya,1
gw butuh Vidi aslinya😮,gw butuh vidi aslinya,1
"Jadi inget film mr. Vampire 1985 pas adegan bongkar makam , petinya di bikin vertikal juga",inget film mr vampire pas adetidakn bongkar makam petinya bikin vertikal jutidak,1
baca gblk,baca gblk,1
Itu kan ada bang,bang,1
"Unik ya, film korea, tp judulnya ""itu kan ada bang"" mungkin terjemahan judulnya ini ​ @Spavebluxmusic ",unik ya film korea tp judulnya bang terjemahan judulnya spavebluxmusic,1
Judulnya apa klo boleh tau,judulnya klo tau,1
​ @juliandiand7458 exhuma,juliandiandexhuma,1
Knp ga nonton OL ka? Mang msh ada tukang DVD ka?,knp tidak nonton ol ka mang msh tukang dvd ka,1
Nonton di tele aja kak gratiss,nonton tele aja kak gratiss,1
​ @arlita4052 ada link nya kah,arlitaada link nya kah,1
Ada di app bstation,app bstation,1
Sy jd watir org2 indonesia byk yg menetap tinggal dibjepang saat ini😮,sy jd watir org indonesia byk yg menetap tingtidakl dibjepang,1
"Ya ktnya biar usaha kluarganya sukses,dan gak bangkrut/kena kutukan menurut peramalnya.",ya ktnya biar usaha kluartidaknya suksesdan tidakk bangkrutkena kutukan peramalnya,1
 @ekasantoso2355  sama-sama buat kesuksesan usaha keluarga ya,ekasantoso samasama kesuksesan usaha keluartidak ya,1
ada yg tau arti kayu basah lebih kuat daripada beso?,yg tau arti kayu basah kuat beso,1
Perang pake mage,perang pake mage,1
"Exhuma B aja, ceritanya muter2 dikuburan, hantu muncul jg nggak... mana ending nya cucu2 nya akhirnya selamat atau ga dari para leluhur jg ga dimengerti.. plot twist nya malah muncul hantu Shogun dari era penjajahan, entah peran bikhsu di bawa2 tujuannya buat apa, terlalu banyak membyang waktu ttg cerita Bikhsu... padahal berharap ternyata kuburan terlarang yg digali adalah Bikhsu dari aliran Buddha gelap.. bener2 membagongkan yg bilang exhuma bagus.. kemakan hoax produksi korea yg industri perfilmannya dah mulai habis ide cerita",exhuma b aja ceritanya muter dikuburan hantu muncul jg ngtidakk ending nya cucu nya selamat tidak leluhur jg tidak dimengerti plot twist nya muncul hantu shogun era penjajahan peran bikhsu bawa tujuannya membyang ttg cerita bikhsu berharap kuburan terlarang yg ditidakli bikhsu aliran buddha gelap bener membagongkan yg bilang exhuma bagus kemakan hoax produksi korea yg industri perfilmannya dah habis ide cerita,2
Imjin War 1590AN + Pendudukan Jepang di Korea 1910-1945.,imjin war an pendudukan jepang korea,1
Next yang wailing exhuma bg,next wailing exhuma bg,1
"Wuihh thx minn❤❤btw ketika aku nonton filmnya part mukul ular pake sekop di kuburan dan abis itu suasananya langsung berubah,,sumpe merinding banget aku😨😨",wuihh thx minnbtw nonton filmnya part mukul ular pake sekop kuburan abis suasananya langsung berubahsumpe merinding banget,1
"Mgkn film selanjutnya Jang Jaehyun, bercerita tentang biksu Gisune",mgkn film jang jaehyun bercerita biksu gisune,1
"Nton trailernya aja menegangkan, apalagi nton full movie nya😮",nton trailernya aja menetidakngkan nton full movie nya,1
Daebak sumpah ni film rate 💯 dan lebih afdol nonton langsung ke bioskop dapat banget feels nya,daebak sumpah ni film rate afdol nonton langsung bioskop banget feels nya,1
Langsung subrek karena review film inii mksh bang😊,langsung subrek review film inii mksh bang,1
"Suara empuk ✅
Cerita rapi ✅
Kesimpulan sesuai cerita film ✅
Ga pake musik berlebihan ✅
Auto subcribe ☑️☑️☑️",suara empuk cerita rapi kesimpulan sesuai cerita film tidak pake musik auto subcribe,1
Keren 🔥,keren,2
Anjay bong ji punya qodam qodam kayak mbh dok,anjay bong ji qodam qodam kayak mbh dok,1
Film ini lumayan lah meski tak semencekam the wailing.,film lumayan semencekam the wailing,1
udah nonton film ini tapi gapaham wkwk,udah nonton film tidakpaham wkwk,1
Jadi ini kesimpulannya film excorcism versi perdukunan.,kesimpulannya film excorcism versi perdukunan,1
Serem euy 30menit aja 2 hari 😅,serem euy menit aja,1
Udah gak keburu ntn bioskop. Horee dibahas,udah tidakk keburu ntn bioskop horee dibahas,1
"Hanya nonton, via web. Pas bahasa jepang gak ada subtitlenya, jadi rada gak ngerti alur ceritanya..lanjut cari reviewnya,,",nonton via web pas bahasa jepang tidakk subtitlenya rada tidakk ngerti alur ceritanyalanjut cari reviewnya,1
"Thankz U kak udah riview srcara detaiL n mudah di pahami menurut saya 😘😘😘😘😘
Sehat n sukses seLaLu ya kak 🎉🎉🎉🎉🎉",thankz u kak udah riview srcara detail n mudah pahami sehat n sukses ya kak,1
"Kayu dan air itu kan elemen murni, dia lebih kuat dari besi yang enggak murni alias campuran dari beberapa elemen.",kayu air elemen murni kuat besi engtidakk murni alias campuran elemen,1
"nah ini, agak bingung pas denger. loading...",atidakk bingung pas denger loading,1
hehehe,hehehe,1
대박? 진짜야?,,1
Ne 😁,ne,1
Makasih juga ya,makasih jutidak ya,1
"mungkin emng bukan pasarnya masyarakat korea ya kalo berbau mistis dan perdukunan seperti ini , namun karna di indonesia sendiri banyak yg mempercayai atau telah familiar dengan cerita2 horor mistis seperti ini jadi lebih diminati dan gampang untuk di pahami , 

tim yg belum nonton , tp liat spoiler ini aja dibikin merindingghh😢",emng bukan pasarnya masyarakat korea ya kalo berbau mistis perdukunan karna indonesia yg mempercayai familiar dentidakn cerita horor mistis diminati tidakmpang pahami tim yg nonton tp liat spoiler aja dibikin merindingghh,1
Finally pham sikit,finally pham sikit,1
"Ngomong ngomong soal pasak besi, ternyata kemarin ramai selentingan gimana kalau di Indonesia juga ada pasak besi yang ditinggal oleh penjajah Jepang waktu mereka disini. Tapi terlepas dari itu, Exhuma memang keren, film horor dipenuhi unsur sejarah dan budaya.",ngomong ngomong pasak besi kemarin ramai selentintidakn gimana indonesia jutidak pasak besi ditingtidakl penjajah jepang terlepas exhuma keren film horor dipenuhi unsur sejarah budaya,2
"filmnya sebenarnya biasa saja, bahkan overrated menurut saya, nonton hari kedua setelah premiere dan nonton karena banyak yg rekomendasi, tapi ya bagi saya sangat biasa saja filmnya.",filmnya overrated nonton premiere nonton yg rekomendasi ya santidakt filmnya,1
"Serius nanya, seramnya di mana, kalau jalan ceritanya bagus dan keren 😎",serius nanya seramnya jalan ceritanya bagus keren,2
Yang bikin keren filmny itu karna ada bau² jepang,bikin keren filmny karna bau jepang,2
"Tak best langsung...bosan. gambar gelap, entah apa benda dia tunjuk, tak ketahuan orang ka hantu kaa... Semua sama ja.... Gelap. Macam tengok lubang gua.",best langsungbosan tidakmbar gelap benda ketahuan orang ka hantu kaa ja gelap tengok lubang gua,0
memasukkan samurai* =memasukkan katana,memasukkan samurai memasukkan katana,1
Kata orang film ini bagus.. Tp pas gw nonton kok biasa aja..,orang film bagus tp pas gw nonton aja,2
